input,output
compress folder logs,tar -czvf logs.tar logs
zip the directory logs,tar -czvf logs.tar logs
compress folder archive,tar -czvf archive.tar archive
zip the directory archive,tar -czvf archive.tar archive
compress folder archive,tar -czvf archive.tar archive
zip the directory archive,tar -czvf archive.tar archive
compress folder project,tar -czvf project.tar project
zip the directory project,tar -czvf project.tar project
compress folder data,tar -czvf data.tar data
zip the directory data,tar -czvf data.tar data
compress folder docs,tar -czvf docs.tar docs
zip the directory docs,tar -czvf docs.tar docs
compress folder logs,tar -czvf logs.tar logs
zip the directory logs,tar -czvf logs.tar logs
compress folder src,tar -czvf src.tar src
zip the directory src,tar -czvf src.tar src
compress folder temp,tar -czvf temp.tar temp
zip the directory temp,tar -czvf temp.tar temp
compress folder backup,tar -czvf backup.tar backup
zip the directory backup,tar -czvf backup.tar backup
compress folder data,tar -czvf data.tar data
zip the directory data,tar -czvf data.tar data
compress folder logs,tar -czvf logs.tar logs
zip the directory logs,tar -czvf logs.tar logs
compress folder images,tar -czvf images.tar images
zip the directory images,tar -czvf images.tar images
compress folder temp,tar -czvf temp.tar temp
zip the directory temp,tar -czvf temp.tar temp
compress folder build,tar -czvf build.tar build
zip the directory build,tar -czvf build.tar build
compress folder archive,tar -czvf archive.tar archive
zip the directory archive,tar -czvf archive.tar archive
compress folder archive,tar -czvf archive.tar archive
zip the directory archive,tar -czvf archive.tar archive
compress folder project,tar -czvf project.tar project
zip the directory project,tar -czvf project.tar project
compress folder data,tar -czvf data.tar data
zip the directory data,tar -czvf data.tar data
compress folder data,tar -czvf data.tar data
zip the directory data,tar -czvf data.tar data
compress folder project,tar -czvf project.tar project
zip the directory project,tar -czvf project.tar project
compress folder build,tar -czvf build.tar build
zip the directory build,tar -czvf build.tar build
compress folder images,tar -czvf images.tar images
zip the directory images,tar -czvf images.tar images
compress folder data,tar -czvf data.tar data
zip the directory data,tar -czvf data.tar data
compress folder project,tar -czvf project.tar project
zip the directory project,tar -czvf project.tar project
compress folder temp,tar -czvf temp.tar temp
zip the directory temp,tar -czvf temp.tar temp
compress folder project,tar -czvf project.tar project
zip the directory project,tar -czvf project.tar project
compress folder project,tar -czvf project.tar project
zip the directory project,tar -czvf project.tar project
compress folder data,tar -czvf data.tar data
zip the directory data,tar -czvf data.tar data
compress folder backup,tar -czvf backup.tar backup
zip the directory backup,tar -czvf backup.tar backup
compress folder project,tar -czvf project.tar project
zip the directory project,tar -czvf project.tar project
compress folder src,tar -czvf src.tar src
zip the directory src,tar -czvf src.tar src
compress folder build,tar -czvf build.tar build
zip the directory build,tar -czvf build.tar build
compress folder backup,tar -czvf backup.tar backup
zip the directory backup,tar -czvf backup.tar backup
compress folder logs,tar -czvf logs.tar logs
zip the directory logs,tar -czvf logs.tar logs
compress folder logs,tar -czvf logs.tar logs
zip the directory logs,tar -czvf logs.tar logs
compress folder build,tar -czvf build.tar build
zip the directory build,tar -czvf build.tar build
compress folder src,tar -czvf src.tar src
zip the directory src,tar -czvf src.tar src
compress folder src,tar -czvf src.tar src
zip the directory src,tar -czvf src.tar src
compress folder docs,tar -czvf docs.tar docs
zip the directory docs,tar -czvf docs.tar docs
compress folder project,tar -czvf project.tar project
zip the directory project,tar -czvf project.tar project
compress folder archive,tar -czvf archive.tar archive
zip the directory archive,tar -czvf archive.tar archive
compress folder src,tar -czvf src.tar src
zip the directory src,tar -czvf src.tar src
compress folder build,tar -czvf build.tar build
zip the directory build,tar -czvf build.tar build
compress folder backup,tar -czvf backup.tar backup
zip the directory backup,tar -czvf backup.tar backup
compress folder logs,tar -czvf logs.tar logs
zip the directory logs,tar -czvf logs.tar logs
compress folder archive,tar -czvf archive.tar archive
zip the directory archive,tar -czvf archive.tar archive
compress folder project,tar -czvf project.tar project
zip the directory project,tar -czvf project.tar project
compress folder logs,tar -czvf logs.tar logs
zip the directory logs,tar -czvf logs.tar logs
compress folder backup,tar -czvf backup.tar backup
zip the directory backup,tar -czvf backup.tar backup
compress folder build,tar -czvf build.tar build
zip the directory build,tar -czvf build.tar build
compress folder backup,tar -czvf backup.tar backup
zip the directory backup,tar -czvf backup.tar backup
compress folder temp,tar -czvf temp.tar temp
zip the directory temp,tar -czvf temp.tar temp
compress folder src,tar -czvf src.tar src
zip the directory src,tar -czvf src.tar src
compress folder logs,tar -czvf logs.tar logs
zip the directory logs,tar -czvf logs.tar logs
compress folder project,tar -czvf project.tar project
zip the directory project,tar -czvf project.tar project
compress folder logs,tar -czvf logs.tar logs
zip the directory logs,tar -czvf logs.tar logs
compress folder backup,tar -czvf backup.tar backup
zip the directory backup,tar -czvf backup.tar backup
compress folder backup,tar -czvf backup.tar backup
zip the directory backup,tar -czvf backup.tar backup
compress folder data,tar -czvf data.tar data
zip the directory data,tar -czvf data.tar data
compress folder backup,tar -czvf backup.tar backup
zip the directory backup,tar -czvf backup.tar backup
compress folder images,tar -czvf images.tar images
zip the directory images,tar -czvf images.tar images
compress folder data,tar -czvf data.tar data
zip the directory data,tar -czvf data.tar data
compress folder temp,tar -czvf temp.tar temp
zip the directory temp,tar -czvf temp.tar temp
compress folder backup,tar -czvf backup.tar backup
zip the directory backup,tar -czvf backup.tar backup
compress folder project,tar -czvf project.tar project
zip the directory project,tar -czvf project.tar project
compress folder archive,tar -czvf archive.tar archive
zip the directory archive,tar -czvf archive.tar archive
compress folder archive,tar -czvf archive.tar archive
zip the directory archive,tar -czvf archive.tar archive
compress folder data,tar -czvf data.tar data
zip the directory data,tar -czvf data.tar data
compress folder logs,tar -czvf logs.tar logs
zip the directory logs,tar -czvf logs.tar logs
compress folder logs,tar -czvf logs.tar logs
zip the directory logs,tar -czvf logs.tar logs
compress folder docs,tar -czvf docs.tar docs
zip the directory docs,tar -czvf docs.tar docs
compress folder data,tar -czvf data.tar data
zip the directory data,tar -czvf data.tar data
compress folder logs,tar -czvf logs.tar logs
zip the directory logs,tar -czvf logs.tar logs
compress folder logs,tar -czvf logs.tar logs
zip the directory logs,tar -czvf logs.tar logs
compress folder images,tar -czvf images.tar images
zip the directory images,tar -czvf images.tar images
compress folder src,tar -czvf src.tar src
zip the directory src,tar -czvf src.tar src
compress folder build,tar -czvf build.tar build
zip the directory build,tar -czvf build.tar build
compress folder src,tar -czvf src.tar src
zip the directory src,tar -czvf src.tar src
compress folder temp,tar -czvf temp.tar temp
zip the directory temp,tar -czvf temp.tar temp
compress folder images,tar -czvf images.tar images
zip the directory images,tar -czvf images.tar images
compress folder src,tar -czvf src.tar src
zip the directory src,tar -czvf src.tar src
compress folder backup,tar -czvf backup.tar backup
zip the directory backup,tar -czvf backup.tar backup
compress folder build,tar -czvf build.tar build
zip the directory build,tar -czvf build.tar build
compress folder src,tar -czvf src.tar src
zip the directory src,tar -czvf src.tar src
compress folder docs,tar -czvf docs.tar docs
zip the directory docs,tar -czvf docs.tar docs
compress folder project,tar -czvf project.tar project
zip the directory project,tar -czvf project.tar project
compress folder images,tar -czvf images.tar images
zip the directory images,tar -czvf images.tar images
compress folder docs,tar -czvf docs.tar docs
zip the directory docs,tar -czvf docs.tar docs
compress folder temp,tar -czvf temp.tar temp
zip the directory temp,tar -czvf temp.tar temp
compress folder images,tar -czvf images.tar images
zip the directory images,tar -czvf images.tar images
compress folder archive,tar -czvf archive.tar archive
zip the directory archive,tar -czvf archive.tar archive
compress folder logs,tar -czvf logs.tar logs
zip the directory logs,tar -czvf logs.tar logs
compress folder project,tar -czvf project.tar project
zip the directory project,tar -czvf project.tar project
compress folder logs,tar -czvf logs.tar logs
zip the directory logs,tar -czvf logs.tar logs
compress folder images,tar -czvf images.tar images
zip the directory images,tar -czvf images.tar images
compress folder src,tar -czvf src.tar src
zip the directory src,tar -czvf src.tar src
compress folder archive,tar -czvf archive.tar archive
zip the directory archive,tar -czvf archive.tar archive
compress folder src,tar -czvf src.tar src
zip the directory src,tar -czvf src.tar src
compress folder build,tar -czvf build.tar build
zip the directory build,tar -czvf build.tar build
compress folder build,tar -czvf build.tar build
zip the directory build,tar -czvf build.tar build
compress folder logs,tar -czvf logs.tar logs
zip the directory logs,tar -czvf logs.tar logs
compress folder project,tar -czvf project.tar project
zip the directory project,tar -czvf project.tar project
compress folder build,tar -czvf build.tar build
zip the directory build,tar -czvf build.tar build
compress folder build,tar -czvf build.tar build
zip the directory build,tar -czvf build.tar build
compress folder src,tar -czvf src.tar src
zip the directory src,tar -czvf src.tar src
compress folder data,tar -czvf data.tar data
zip the directory data,tar -czvf data.tar data
compress folder build,tar -czvf build.tar build
zip the directory build,tar -czvf build.tar build
compress folder data,tar -czvf data.tar data
zip the directory data,tar -czvf data.tar data
compress folder backup,tar -czvf backup.tar backup
zip the directory backup,tar -czvf backup.tar backup
compress folder project,tar -czvf project.tar project
